Date,MinTemp,MaxTemp,Evaporation,Sunshine,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,Rain
2009-01-01 00:00:00,17.7,35.1,9.8,12.9,63.0,13.0,1005.3,1000.2,22.9,34.0,0.0
2009-01-02 00:00:00,18.5,23.0,11.0,5.9,63.0,58.0,1012.9,1014.1,20.6,20.1,0.0
2009-01-03 00:00:00,16.9,23.2,9.0,0.5,52.0,50.0,1021.8,1019.4,18.9,22.0,0.0
2009-01-04 00:00:00,18.7,27.1,5.4,11.3,60.0,51.0,1018.5,1014.9,22.9,25.9,0.0
2009-01-05 00:00:00,20.2,31.6,10.0,12.2,58.0,52.0,1013.2,1008.0,24.9,29.0,0.0
2009-01-06 00:00:00,19.9,29.7,10.0,11.8,82.0,54.0,1011.7,1007.8,22.7,28.7,0.0
2009-01-07 00:00:00,20.6,34.9,9.0,9.3,79.0,52.0,1010.0,1004.7,22.3,30.3,0.0
2009-01-08 00:00:00,20.2,21.7,9.8,0.0,85.0,78.0,1012.4,1013.6,20.7,19.7,0.2
2009-01-09 00:00:00,17.4,22.9,7.6,5.9,54.0,44.0,1020.2,1018.8,19.4,22.3,0.0
2009-01-10 00:00:00,16.3,24.0,7.6,6.1,49.0,44.0,1017.0,1013.8,20.3,23.2,0.0
2009-01-11 00:00:00,18.0,26.6,6.6,8.7,57.0,48.0,1013.9,1011.3,23.1,25.7,0.0
2009-01-12 00:00:00,18.5,24.0,8.8,11.4,81.0,72.0,1015.5,1016.5,21.8,23.7,0.8
2009-01-13 00:00:00,19.3,27.9,4.2,11.1,84.0,48.0,1019.5,1016.1,21.9,26.7,0.6
2009-01-14 00:00:00,20.9,32.0,10.2,13.0,57.0,39.0,1014.5,1010.5,26.5,30.9,0.0
2009-01-15 00:00:00,22.6,38.8,14.2,9.4,42.0,43.0,1009.1,1006.6,29.6,32.0,0.0
2009-01-16 00:00:00,18.4,26.3,10.2,10.1,73.0,54.0,1013.0,1008.9,20.5,25.5,5.4
2009-01-17 00:00:00,17.1,20.7,10.4,6.5,58.0,57.0,1020.2,1020.8,18.8,19.8,0.0
2009-01-18 00:00:00,14.4,25.0,5.6,12.7,65.0,43.0,1022.0,1019.8,19.3,23.5,0.0
2009-01-19 00:00:00,17.0,27.3,11.0,12.7,53.0,49.0,1019.2,1014.7,22.2,25.6,0.0
2009-01-20 00:00:00,19.5,31.7,9.0,12.4,51.0,38.0,1013.8,1009.9,25.8,31.1,0.0
2009-01-21 00:00:00,20.9,33.7,12.8,7.4,57.0,45.0,1011.8,1007.6,27.6,31.2,3.0
2009-01-22 00:00:00,22.6,34.6,8.0,9.8,42.0,40.0,1008.7,1004.8,29.4,33.0,0.6
2009-01-23 00:00:00,24.7,32.1,14.2,11.9,80.0,56.0,1009.3,1007.3,25.3,29.8,0.0
2009-01-24 00:00:00,24.1,41.8,10.6,11.1,52.0,37.0,1004.6,1002.9,31.7,34.4,0.0
2009-01-25 00:00:00,19.6,25.0,13.6,6.8,69.0,52.0,1019.5,1018.5,20.2,24.0,0.0
2009-01-26 00:00:00,20.1,24.9,6.8,1.2,81.0,81.0,1019.4,1019.3,21.4,24.1,0.0
2009-01-27 00:00:00,19.8,24.6,1.8,1.7,98.0,96.0,1021.1,1020.1,20.2,21.5,8.2
2009-01-28 00:00:00,19.5,29.4,1.8,12.3,73.0,50.0,1018.4,1015.5,24.6,29.2,0.2
2009-01-29 00:00:00,20.7,30.0,8.6,12.5,70.0,59.0,1018.5,1016.2,25.5,28.7,0.0
2009-01-30 00:00:00,20.4,30.2,10.2,13.0,65.0,48.0,1018.7,1015.4,24.9,29.6,0.0
2009-01-31 00:00:00,21.6,31.2,10.6,11.5,76.0,51.0,1017.4,1013.9,24.8,29.5,0.0
2009-02-01 00:00:00,20.9,28.2,9.2,11.1,78.0,69.0,1016.3,1016.2,23.5,26.9,0.0
2009-02-02 00:00:00,22.7,30.4,6.4,9.8,70.0,48.0,1016.2,1011.8,26.4,29.8,0.0
2009-02-03 00:00:00,21.9,28.3,10.8,7.5,59.0,63.0,1010.9,1010.2,25.8,26.4,0.0
2009-02-04 00:00:00,21.3,28.0,7.0,7.1,86.0,64.0,1011.7,1009.2,23.5,27.3,0.0
2009-02-05 00:00:00,22.6,31.5,6.6,12.2,67.0,52.0,1009.1,1005.4,26.6,30.7,0.0
2009-02-06 00:00:00,21.4,31.7,9.8,10.8,81.0,53.0,1011.2,1008.1,23.8,30.8,0.0
2009-02-07 00:00:00,21.5,34.9,10.4,11.8,57.0,32.0,1013.3,1009.9,27.1,31.9,0.0
2009-02-08 00:00:00,22.0,31.1,14.2,12.2,64.0,43.0,1010.8,1007.1,25.2,30.2,0.0
2009-02-09 00:00:00,20.0,21.5,9.0,0.0,92.0,88.0,1012.0,1011.7,20.3,19.8,0.0
2009-02-10 00:00:00,17.8,19.5,1.6,0.0,93.0,88.0,1012.0,1010.2,18.4,18.7,1.2
2009-02-11 00:00:00,17.4,22.1,2.2,1.5,81.0,70.0,1011.4,1011.3,17.8,21.4,2.8
2009-02-12 00:00:00,17.0,21.5,4.0,1.1,80.0,64.0,1017.6,1019.0,19.1,19.9,4.8
2009-02-13 00:00:00,17.0,20.2,5.4,0.0,81.0,95.0,1025.5,1025.1,18.5,17.6,1.8
2009-02-14 00:00:00,16.5,21.3,4.4,0.0,66.0,82.0,1023.1,1019.5,19.3,18.4,41.8
2009-02-15 00:00:00,17.0,23.2,2.4,0.2,88.0,85.0,1014.9,1014.1,19.5,20.9,14.0
2009-02-16 00:00:00,17.8,24.6,4.8,6.4,75.0,58.0,1017.8,1017.8,21.5,22.8,16.6
2009-02-17 00:00:00,18.3,22.8,7.4,0.0,69.0,69.0,1017.0,1015.6,21.2,21.4,3.6
2009-02-18 00:00:00,18.9,25.0,3.2,7.1,90.0,68.0,1010.2,1008.2,20.4,24.3,15.0
2009-02-19 00:00:00,19.5,31.2,3.6,11.4,69.0,51.0,1007.9,1004.7,23.4,28.9,0.6
2009-02-20 00:00:00,19.9,27.4,7.8,9.6,69.0,63.0,1011.7,1010.1,23.5,26.2,0.0
2009-02-21 00:00:00,21.7,24.2,6.4,0.3,87.0,91.0,1013.4,1013.6,22.2,21.7,0.0
2009-02-22 00:00:00,20.4,25.1,2.4,6.3,63.0,61.0,1018.5,1017.5,22.3,23.9,2.6
2009-02-23 00:00:00,19.8,28.8,4.6,5.3,70.0,58.0,1016.9,1012.7,23.6,27.6,0.0
2009-02-24 00:00:00,20.2,27.8,5.4,10.7,68.0,77.0,1014.1,1013.5,24.3,24.3,0.0
2009-02-25 00:00:00,20.6,25.8,7.0,7.0,89.0,66.0,1016.7,1014.8,21.4,25.1,0.0
2009-02-26 00:00:00,19.3,23.0,7.6,6.8,79.0,59.0,1020.4,1018.8,19.7,22.6,0.0
2009-02-27 00:00:00,18.7,23.9,6.0,5.6,74.0,50.0,1018.0,1015.7,20.3,23.0,0.0
2009-02-28 00:00:00,17.8,27.7,4.8,5.6,60.0,53.0,1009.6,1006.6,21.7,26.8,0.0
